dataset,dataset_label,attack_id,attack,gamma_base,delta_gamma_base,delta_m_max_base,gamma_below_base,gamma_below_induced_base,n_models_base,gamma_min_model_base,delta_gamma_min_model_base,delta_m_max_model_base,sig_base,sig_uncorrected_base,gamma_fair,delta_gamma_fair,delta_m_max_fair,gamma_below_fair,gamma_below_induced_fair,n_models_fair,gamma_min_model_fair,delta_gamma_min_model_fair,delta_m_max_model_fair,sig_fair,sig_uncorrected_fair
ml-100k,ML100K,cfair_influencer_push_random,\textsc{Influencer-PushR},"$[0.83, 0.96]$","$[-0.12, 0.01]$",$2.8$,0,0,8,nmf,ease-u,nmf,0,0,"$[0.89, 0.98]$","$[-0.25, 0.02]$",$1.2$,0,0,5,mf-absolute-gender,mf-absolute-gender,bnslim-u-gender,0,2
ml-100k,ML100K,cfair_influencer_push_least_favorite,\textsc{Influencer-PushLF},"$[0.83, 0.96]$","$[-0.09, 0.00]$",$2.8$,0,0,8,nmf,mf,nmf,0,0,"$[0.92, 0.97]$","$[-0.23, 0.00]$",$1.5$,0,0,5,mf-absolute-gender,mf-absolute-gender,bnslim-u-gender,0,1
ml-100k,ML100K,cfair_influencer_nuke_favorite,\textsc{Influencer-NukeF},"$[0.84, 1.00]$","$[-0.13, 0.01]$",$2.5$,0,0,8,neumf,neumf,svd,0,0,"$[0.97, 1.04]$","$[-0.14, 0.07]$",$0.6$,0,0,5,bnslim-u-gender,mf-absolute-gender,bnslim-u-gender,0,0
ml-100k,ML100K,cfair_favorite_push_random,\textsc{Favorite-PushR},"$[0.85, 1.00]$","$[-0.09, 0.04]$",$2.7$,0,0,8,svd,mf,svd,0,0,"$[0.94, 1.06]$","$[-0.08, 0.04]$",$0.7$,0,0,5,mf-over-gender,mf-absolute-gender,mf-over-gender,0,0
ml-100k,ML100K,cfair_favorite_push_least_favorite,\textsc{Favorite-PushLF},"$[0.83, 1.00]$","$[-0.14, 0.13]$",$2.7$,0,0,8,neumf,neumf,svd,0,0,"$[0.88, 0.98]$","$[-0.26, 0.01]$",$1.1$,0,0,5,mf-absolute-gender,mf-absolute-gender,mf-absolute-gender,0,1
ml-100k,ML100K,cfair_reverse_favorite_nuke_favorite,\textsc{ReverseFavorite-NukeF},"$[0.84, 0.97]$","$[-0.12, 0.03]$",$2.8$,0,0,8,svd,neumf,svd,0,1,"$[0.94, 1.00]$","$[-0.16, -0.00]$",$0.8$,0,0,5,mf-under-gender,mf-absolute-gender,bnslim-u-gender,0,0
ml-1m,ML1M,cfair_influencer_push_random,\textsc{Influencer-PushR},"$[0.78, 0.90]$","$[-0.01, 0.05]$",$2.8$,1,0,8,svd,ease-u,svd,0,1,"$[0.43, 0.87]$","$[-0.38, -0.00]$",$1.9$,2,2,5,mf-under-gender,mf-under-gender,mf-absolute-gender,0,0
ml-1m,ML1M,cfair_influencer_push_least_favorite,\textsc{Influencer-PushLF},"$[0.78, 0.90]$","$[-0.01, 0.05]$",$2.9$,1,0,8,svd,ease-u,svd,0,0,"$[0.56, 0.87]$","$[-0.25, -0.01]$",$2.0$,4,4,5,mf-under-gender,mf-under-gender,mf-absolute-gender,1,3
ml-1m,ML1M,cfair_influencer_nuke_favorite,\textsc{Influencer-NukeF},"$[0.79, 0.91]$","$[-0.01, 0.05]$",$2.8$,1,0,8,svd,neumf,svd,0,0,"$[0.53, 0.88]$","$[-0.29, 0.00]$",$2.0$,3,3,5,mf-under-gender,mf-under-gender,mf-absolute-gender,1,3
ml-1m,ML1M,cfair_favorite_push_random,\textsc{Favorite-PushR},"$[0.78, 0.93]$","$[-0.01, 0.07]$",$2.9$,1,0,8,svd,ease-i,svd,0,1,"$[0.56, 0.89]$","$[-0.26, 0.01]$",$2.0$,4,4,5,mf-under-gender,mf-under-gender,mf-value-gender,0,1
ml-1m,ML1M,cfair_favorite_push_least_favorite,\textsc{Favorite-PushLF},"$[0.78, 0.91]$","$[-0.01, 0.07]$",$2.9$,1,0,8,svd,ease-i,svd,0,1,"$[0.73, 0.89]$","$[-0.08, 0.01]$",$1.8$,3,3,5,mf-absolute-gender,mf-absolute-gender,mf-value-gender,0,0
ml-1m,ML1M,cfair_reverse_favorite_nuke_favorite,\textsc{ReverseFavorite-NukeF},"$[0.77, 0.91]$","$[-0.00, 0.09]$",$3.0$,1,0,8,svd,slim-u,svd,0,0,"$[0.79, 0.88]$","$[-0.03, 0.01]$",$1.7$,2,2,5,mf-absolute-gender,mf-value-gender,bnslim-u-gender,0,0
lastfm-1k,LFM1K,cfair_influencer_push_random,\textsc{Influencer-PushR},"$[0.82, 1.06]$","$[-0.14, 0.31]$",$5.5$,0,0,8,slim-u,mf,slim-u,0,3,"$[0.80, 0.84]$","$[-0.16, -0.10]$",$5.5$,1,1,5,mf-value-gender,mf-value-gender,mf-value-gender,0,2
lastfm-1k,LFM1K,cfair_influencer_push_least_favorite,\textsc{Influencer-PushLF},"$[0.83, 1.29]$","$[-0.15, 0.54]$",$5.3$,0,0,8,slim-u,mf,slim-u,1,2,"$[0.81, 0.84]$","$[-0.15, -0.10]$",$5.3$,0,0,5,mf-under-gender,mf-under-gender,bnslim-u-gender,0,3
lastfm-1k,LFM1K,cfair_influencer_nuke_favorite,\textsc{Influencer-NukeF},"$[0.83, 1.13]$","$[-0.13, 0.38]$",$5.4$,0,0,8,slim-u,nmf,slim-u,0,1,"$[0.83, 0.95]$","$[-0.10, 0.00]$",$5.3$,0,0,5,bnslim-u-gender,bnslim-u-gender,bnslim-u-gender,0,0
lastfm-1k,LFM1K,cfair_favorite_push_random,\textsc{Favorite-PushR},"$[0.61, 1.12]$","$[-0.27, 0.12]$",$7.6$,2,1,8,neumf,mf,mf,1,1,"$[0.72, 0.93]$","$[-0.25, 0.00]$",$7.5$,4,4,5,mf-under-gender,mf-under-gender,mf-under-gender,4,4
lastfm-1k,LFM1K,cfair_favorite_push_least_favorite,\textsc{Favorite-PushLF},"$[0.68, 1.12]$","$[-0.30, 0.12]$",$8.3$,2,1,8,mf,mf,mf,1,1,"$[0.68, 0.93]$","$[-0.28, 0.00]$",$8.3$,4,4,5,mf-absolute-gender,mf-absolute-gender,mf-value-gender,4,4
lastfm-1k,LFM1K,cfair_reverse_favorite_nuke_favorite,\textsc{ReverseFavorite-NukeF},"$[0.93, 1.04]$","$[-0.04, 0.29]$",$2.2$,0,0,8,slim-u,mf,slim-u,0,0,"$[0.93, 0.94]$","$[-0.03, 0.00]$",$2.2$,0,0,5,mf-value-gender,mf-value-gender,bnslim-u-gender,0,0
ftky,FTKY,cfair_influencer_push_random,\textsc{Influencer-PushR},"$[0.78, 0.98]$","$[-0.17, 0.00]$",$7.4$,1,1,8,slim-u,slim-u,slim-u,1,2,"$[0.77, 0.94]$","$[-0.19, -0.04]$",$8.1$,1,1,5,bnslim-u-gender,bnslim-u-gender,bnslim-u-gender,2,3
ftky,FTKY,cfair_influencer_push_least_favorite,\textsc{Influencer-PushLF},"$[0.78, 1.00]$","$[-0.18, 0.03]$",$7.7$,1,1,8,slim-u,slim-u,slim-u,1,2,"$[0.77, 0.91]$","$[-0.18, -0.06]$",$7.8$,1,1,5,bnslim-u-gender,bnslim-u-gender,bnslim-u-gender,3,4
ftky,FTKY,cfair_influencer_nuke_favorite,\textsc{Influencer-NukeF},"$[0.84, 0.98]$","$[-0.08, 0.02]$",$3.2$,0,0,8,nmf,neumf,slim-u,1,1,"$[0.90, 0.96]$","$[-0.06, 0.07]$",$3.3$,0,0,5,bnslim-u-gender,mf-absolute-gender,bnslim-u-gender,1,3
ftky,FTKY,cfair_favorite_push_random,\textsc{Favorite-PushR},"$[0.84, 0.97]$","$[-0.09, 0.01]$",$2.6$,0,0,8,nmf,mf,nmf,0,2,"$[0.84, 0.95]$","$[-0.15, -0.00]$",$4.0$,0,0,5,mf-absolute-gender,mf-absolute-gender,mf-absolute-gender,0,1
ftky,FTKY,cfair_favorite_push_least_favorite,\textsc{Favorite-PushLF},"$[0.84, 0.97]$","$[-0.13, 0.00]$",$3.1$,0,0,8,nmf,mf,mf,0,0,"$[0.84, 0.95]$","$[-0.15, 0.00]$",$4.0$,0,0,5,mf-under-gender,mf-absolute-gender,mf-under-gender,0,1
ftky,FTKY,cfair_reverse_favorite_nuke_favorite,\textsc{ReverseFavorite-NukeF},"$[0.84, 0.98]$","$[-0.05, 0.00]$",$2.6$,0,0,8,nmf,neumf,nmf,0,0,"$[0.88, 0.95]$","$[-0.06, 0.00]$",$2.9$,0,0,5,mf-under-gender,mf-absolute-gender,mf-under-gender,0,1
